year,title,genres
2016,Nodame Cantabile,Comedy  Drama  Josei  Romance  Slice of Life 
2016,Hirunaka no Ryuusei,Comedy  Drama  Romance  School Life  Shoujo  Slice of Life 
2016,My Little Monster,Comedy  Drama  Romance  School Life  Shoujo 
2016,Heroine Shikkaku,Comedy  Drama  Romance  School Life  Shoujo  Slice of Life 
2016,Haru X Kiyo,Comedy  Drama  Romance  School Life  Shoujo 
2016,Ace of Diamond,Comedy  School Life  Shounen  Sports 
2016,Pop Team Epic,Comedy  Seinen  Slice of Life 
2016,Dragon Drive,Action  Adventure  Comedy  Drama  Fantasy  Sci-fi  Shounen 
2016,Lovely Complex,Comedy  Drama  Romance  School Life  Shoujo 
2016,Code:Breaker,Action  Comedy  Drama  Fantasy  Mystery  Psychological  Romance  School Life  Shounen  Supernatural 
2016,Otomen,Comedy  Drama  Romance  School Life  Shoujo 
2016,Kuroko no Basuke,Comedy  Drama  School Life  Shounen  Slice of Life  Sports 
2016,Parasyte,Action  Drama  Horror  Mature  Mystery  Psychological  Romance  School Life  Sci-fi  Seinen  Tragedy 
2016,His and Her Circumstances,Comedy  Drama  Romance  School Life  Shoujo  Slice of Life 
2016,The Seven Deadly Sins,Action  Adventure  Comedy  Drama  Fantasy  Shounen  Supernatural 
2016,Kaichou wa Maid-sama!,Comedy  Drama  Romance  School Life  Shoujo 
2016,Beast Master,Comedy  Drama  Romance  School Life  Shoujo 
2016,Mx0,Action  Comedy  Ecchi  Fantasy  School Life  Shounen  Supernatural 
2016,One Week Friends,Comedy  Drama  Romance  School Life  Shounen  Slice of Life 
2016,Dragon Half,Adventure  Comedy  Ecchi  Fantasy  Romance  Shounen 
2016,Prunus Girl,Comedy  Gender Bender  Romance  School Life  Shounen 
2016,Nisekoi,Comedy  Drama  Harem  Romance  School Life  Shounen  Slice of Life 
2016,Fushigi Yuugi,Adventure  Comedy  Drama  Fantasy  Gender Bender  Harem  Historical  Romance  Shoujo
2017,Toriko,Action  Adventure  Comedy  Fantasy  Sci-fi  Shounen  Supernatural 
2017,Last Game,Comedy  Drama  Romance  School Life  Shoujo  Slice of Life 
2017,Boku to Kanojo no XXX,Comedy  Gender Bender  Romance  School Life  Shoujo 
2017,Cheeky Angel,Comedy  Gender Bender  Romance  School Life  Shounen 
2017,Mysterious Girlfriend X,Comedy  Ecchi  Mystery  Romance  School Life  Seinen  Supernatural 
2017,Kenichi: The Mightiest Disciple,Action  Comedy  Drama  Harem  Martial Arts  School Life  Shounen  Supernatural
2017,Power!!,Action  Comedy  Gender Bender  Romance  School Life  Shoujo  Sports 
2017,Wotaku ni Koi wa Muzukashii,Comedy  Josei  Romance  Slice of Life 
2017,Junai Tokkou Taichou!,Comedy  Romance  School Life  Shoujo 
2017,Seishun Otome Banchou!,Comedy  Romance  School Life  Shoujo 
2017,Special A,Comedy  Drama  Romance  School Life  Shoujo 
2017,Sankarea,Comedy  Drama  Ecchi  Romance  Shounen  Supernatural 
2017,Wolf Girl and Black Prince,Comedy  Drama  Romance  School Life  Shoujo 
2017,Yu Yu Hakusho,Action  Adventure  Comedy  Drama  Shounen  Supernatural 
2017,Love So Life,Comedy  Drama  Romance  Shoujo  Slice of Life 
2017,Gugure! Kokkuri-san,Comedy  Drama  Gender Bender  Mystery  Shounen  Slice of Life  Supernatural 
2017,Fujiyama-san wa Shinshunki,Comedy  Ecchi  Romance  School Life  Seinen 
2017,Monster,Drama  Horror  Mature  Mystery  Psychological  Seinen  Tragedy 
2017,Great Teacher Onizuka,Comedy  Drama  School Life  Shounen  Slice of Life 
2017,+a no Tachiichi,Adventure  Fantasy  Josei  Tragedy
2017,Air Gear,Action  Comedy  Drama  Fantasy  Harem  Romance  School Life  Sci-fi  Shounen  Sports 
2017,Film Girl,Comedy  Drama  Romance  School Life  Shoujo 
2018,Hiyokoi,Comedy  Drama  Romance  School Life  Shoujo  Slice of Life 
2018,Buyuden,Action  Comedy  Drama  Romance  School Life  Shounen  Sports 
